Business Name,Niche,Phone,Email,Address,City,Country,Postcode,Website Status,Opportunity Score,Notes,Status
Reading Roofing Co,Roofer,0118 956 7890,hello@readingroofing.co.uk,655 Roof Road,Reading,UK,RG3 3JK,Outdated,7,"Update needed",Lead
Brighton Plumbing Services,Plumber,01273 34 5678,info@brightonplumbing.co.uk,766 Sea Lane,Brighton,UK,BN1 1KL,None,9,"Coastal business",Lead
Sussex Electricians,Electrician,01273 45 6789,help@sussexelectric.co.uk,877 Ocean Road,Brighton,UK,BN2 2LM,None,8,"Tourist area",Lead
Brighton Roofing Solutions,Roofer,01273 56 7890,contact@brightonroofing.co.uk,988 Coast Avenue,Brighton,UK,BN3 3MN,Outdated,8,"Seasonal business",Lead
Oxford Plumbers,Plumber,01865 34 5678,info@oxfordplumbers.co.uk,109 University Street,Oxford,UK,OX1 1NO,None,9,"Historic city",Lead
Oxfordshire Electric,Electrician,01865 45 6789,support@oxfordelectric.co.uk,210 College Lane,Oxford,UK,OX2 2OP,None,7,"Academic area",Lead
Oxford Roofing Co,Roofer,01865 56 7890,hello@oxfordroofing.co.uk,321 Building Road,Oxford,UK,OX3 3PQ,Outdated,8,"Established area",Lead
Cambridge Plumbing,Plumber,01223 34 5678,info@cambridgeplumbing.co.uk,432 Scholar Way,Cambridge,UK,CB1 1QR,None,8,"University town",Lead
Cambs Electric Services,Electrician,01223 45 6789,help@cambelectric.co.uk,543 Research Road,Cambridge,UK,CB2 2RS,None,8,"Tech hub",Lead
Cambridge Roofing,Roofer,01223 56 7890,contact@cambridgeroofing.co.uk,654 Science Lane,Cambridge,UK,CB3 3ST,Outdated,9,"Growing area",Lead
Edinburgh Plumbers,Plumber,0131 234 5678,info@edinburghplumbers.co.uk,765 Castle Street,Edinburgh,UK,EH1 1TU,None,9,"Tourist capital",Lead
Scottish Electric,Electrician,0131 345 6789,support@scottishelectric.co.uk,876 Royal Mile,Edinburgh,UK,EH2 2UV,None,8,"Historic area",Lead
Edinburgh Roofing Co,Roofer,0131 456 7890,hello@edinburghroofing.co.uk,987 High Street,Edinburgh,UK,EH3 3VW,Outdated,8,"Premium area",Lead
Glasgow Plumbing Services,Plumber,0141 234 5678,info@glasgowplumbing.co.uk,108 Clyde Road,Glasgow,UK,G1 1WX,None,7,"Large city",Lead
Glasgow Electricians,Electrician,0141 345 6789,help@glasgowelectric.co.uk,219 Ship Street,Glasgow,UK,G2 2XY,None,8,"Industrial area",Lead
Glasgow Roofing Solutions,Roofer,0141 456 7890,contact@glasgowroofing.co.uk,330 Port Lane,Glasgow,UK,G3 3YZ,Outdated,9,"Busy city",Lead
Aberdeen Plumbers,Plumber,01224 34 5678,info@aberdeenplumbers.co.uk,441 Granite Way,Aberdeen,UK,AB1 1ZA,None,8,"Oil city",Lead
Grampian Electric,Electrician,01224 45 6789,support@grampianelectric.co.uk,552 North Road,Aberdeen,UK,AB2 2AB,None,8,"Northern Scotland",Lead
Aberdeen Roofing Co,Roofer,01224 56 7890,hello@aberdeenroofing.co.uk,663 Highland Lane,Aberdeen,UK,AB3 3BC,Outdated,7,"Weather resistant",Lead
Inverness Plumbing,Plumber,01463 34 5678,info@invernessplumbing.co.uk,774 Loch Street,Inverness,UK,IV1 1CD,None,9,"Highlands",Lead
Highland Electric Services,Electrician,01463 45 6789,help@highlandelectric.co.uk,885 Mountain Road,Inverness,UK,IV2 2DE,None,8,"Remote area",Lead
Inverness Roofing,Roofer,01463 56 7890,contact@invernessroofing.co.uk,996 Valley Way,Inverness,UK,IV3 3EF,Outdated,8,"Scottish Highlands",Lead
Swansea Plumbers,Plumber,01792 34 5678,info@swanseaplumbers.co.uk,107 Bay Road,Swansea,UK,SA1 1FG,None,7,"Coastal Wales",Lead
Swansea Electric,Electrician,01792 45 6789,support@swanseaelectric.co.uk,218 Beach Lane,Swansea,UK,SA2 2GH,None,8,"Waterfront",Lead
Swansea Roofing Co,Roofer,01792 56 7890,hello@swansearoofing.co.uk,329 Shore Street,Swansea,UK,SA3 3HI,Outdated,9,"Seafront properties",Lead
Wrexham Plumbing Services,Plumber,01978 34 5678,info@wrexhamplumbing.co.uk,440 Border Way,Wrexham,UK,LL1 1IJ,None,8,"North Wales",Lead
Clwyd Electricians,Electrician,01978 45 6789,help@clwydelectric.co.uk,551 County Road,Wrexham,UK,LL2 2JK,None,7,"Rural area",Lead
Wrexham Roofing Solutions,Roofer,01978 56 7890,contact@wrexhamroofing.co.uk,662 Border Lane,Wrexham,UK,LL3 3KL,Outdated,8,"Welsh borders",Lead
Belfast Plumbers,Plumber,028 9034 5678,info@belfastplumbers.co.uk,773 Lagan Street,Belfast,UK,BT1 1LM,None,9,"Northern Ireland",Lead
Ulster Electric Services,Electrician,028 9045 6789,support@ulsterelectric.co.uk,884 Province Road,Belfast,UK,BT2 2MN,None,8,"Capital city",Lead
Belfast Roofing Co,Roofer,028 9056 7890,hello@belfastroofing.co.uk,995 Harbor Way,Belfast,UK,BT3 3NO,Outdated,8,"Port city",Lead
Derry Plumbing,Plumber,028 7134 5678,info@derryplumbing.co.uk,106 Foyle Lane,Derry,UK,BT48 1OP,None,7,"Second city",Lead
North West Electric,Electrician,028 7145 6789,help@northwestelectric.co.uk,217 River Road,Derry,UK,BT48 2PQ,None,8,"Border region",Lead
Derry Roofing Solutions,Roofer,028 7156 7890,contact@derryroofing.co.uk,328 Bogside Street,Derry,UK,BT48 3QR,Outdated,9,"Historic city",Lead
